rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
1,frame_0001.jpg,0.4,0.7453,0.7907,0.5,1.0,10,5,False,True
2,frame_0016.jpg,6.4,0.7377,0.7754,0.5,1.0,7,5,False,True
3,frame_0377.jpg,150.8,0.728,0.808,1.0,0.12,11,10,False,True
4,frame_0031.jpg,12.4,0.7226,0.7451,0.5,1.0,10,5,False,True
5,frame_0073.jpg,29.2,0.7193,0.7987,0.4,1.0,8,4,False,True
6,frame_0176.jpg,70.4,0.7149,0.8538,0.8,0.24,10,8,False,True
7,frame_0127.jpg,50.8,0.7107,0.8013,0.5,0.8,9,5,False,True
8,frame_0033.jpg,13.2,0.7069,0.7138,0.5,1.0,10,5,False,False
9,frame_0000.jpg,0.0,0.691,0.6821,0.5,1.0,11,5,False,False
10,frame_0329.jpg,131.6,0.6709,0.7698,0.9,0.08,12,9,False,True
11,frame_0128.jpg,51.2,0.6618,0.6276,0.6,0.84,8,6,False,False
12,frame_0075.jpg,30.0,0.6599,0.7558,0.3,0.96,6,3,False,False
13,frame_0074.jpg,29.6,0.6598,0.7396,0.3,1.0,9,3,False,False
14,frame_0007.jpg,2.8,0.6594,0.7388,0.3,1.0,5,3,False,True
15,frame_0077.jpg,30.8,0.6556,0.7192,0.4,0.88,9,4,False,False
16,frame_0286.jpg,114.4,0.6556,0.7552,0.5,0.64,8,5,False,True
17,frame_0133.jpg,53.2,0.654,0.548,0.6,1.0,7,6,False,True
18,frame_0072.jpg,28.8,0.6519,0.7238,0.3,1.0,9,3,False,False
19,frame_0017.jpg,6.8,0.6492,0.5983,0.5,1.0,7,5,False,False
20,frame_0282.jpg,112.8,0.6474,0.7428,0.6,0.48,7,6,False,False
21,frame_0378.jpg,151.2,0.6459,0.8397,0.7,0.08,12,7,False,False
22,frame_0284.jpg,113.6,0.6402,0.7565,0.5,0.56,7,5,False,False
23,frame_0117.jpg,46.8,0.6391,0.7581,0.6,0.4,10,6,False,True
24,frame_0030.jpg,12.0,0.6351,0.6301,0.4,1.0,9,4,False,False
25,frame_0004.jpg,1.6,0.6346,0.6893,0.3,1.0,10,3,False,False
26,frame_0185.jpg,74.0,0.6316,0.8111,0.7,0.08,11,7,False,False
27,frame_0078.jpg,31.2,0.6307,0.6854,0.4,0.84,9,4,False,False
28,frame_0067.jpg,26.8,0.6289,0.6178,0.4,1.0,9,4,False,False
29,frame_0068.jpg,27.2,0.6275,0.4949,0.6,1.0,9,6,False,False
30,frame_0177.jpg,70.8,0.6249,0.8698,0.5,0.2,9,5,False,False
31,frame_0318.jpg,127.2,0.6237,0.7314,0.7,0.24,10,7,False,False
32,frame_0116.jpg,46.4,0.6116,0.7793,0.5,0.36,8,5,False,False
33,frame_0287.jpg,114.8,0.6063,0.7007,0.4,0.68,8,4,False,False
34,frame_0388.jpg,155.2,0.6062,0.7884,0.6,0.16,11,6,False,False
35,frame_0390.jpg,156.0,0.605,0.818,0.6,0.08,11,6,False,False
36,frame_0126.jpg,50.4,0.6039,0.6038,0.5,0.76,8,5,False,False
37,frame_0070.jpg,28.0,0.6028,0.6256,0.3,1.0,7,3,False,False
38,frame_0032.jpg,12.8,0.6023,0.5646,0.4,1.0,7,4,False,False
39,frame_0029.jpg,11.6,0.5989,0.6779,0.2,1.0,8,2,False,False
40,frame_0207.jpg,82.8,0.597,0.694,0.3,0.8,4,3,False,False
41,frame_0118.jpg,47.2,0.5961,0.6563,0.6,0.44,9,6,False,False
42,frame_0333.jpg,133.2,0.5956,0.7392,0.7,0.08,11,7,False,False
43,frame_0015.jpg,6.0,0.5927,0.5454,0.4,1.0,7,4,False,False
44,frame_0278.jpg,111.2,0.5922,0.7564,0.5,0.32,8,5,False,False
45,frame_0314.jpg,125.6,0.5899,0.7278,0.7,0.08,8,7,False,False
46,frame_0076.jpg,30.4,0.5887,0.5094,0.5,0.92,10,5,False,False
47,frame_0175.jpg,70.0,0.5884,0.7047,0.6,0.28,9,6,False,False
48,frame_0293.jpg,117.2,0.5837,0.6235,0.4,0.76,5,4,False,False
49,frame_0026.jpg,10.4,0.5819,0.5838,0.3,1.0,6,3,False,False
50,frame_0069.jpg,27.6,0.5818,0.6437,0.2,1.0,8,2,False,False
51,frame_0021.jpg,8.4,0.5798,0.5797,0.3,1.0,6,3,False,False
52,frame_0368.jpg,147.2,0.579,0.7819,0.6,0.04,13,6,False,False
53,frame_0028.jpg,11.2,0.5787,0.6374,0.2,1.0,7,2,False,False
54,frame_0328.jpg,131.2,0.5786,0.7653,0.6,0.08,12,6,False,False
55,frame_0105.jpg,42.0,0.5785,0.765,0.6,0.08,9,6,False,False
56,frame_0307.jpg,122.8,0.578,0.836,0.4,0.2,9,4,False,False
57,frame_0131.jpg,52.4,0.5771,0.5301,0.4,0.96,5,4,False,False
58,frame_0022.jpg,8.8,0.5748,0.5096,0.4,1.0,6,4,False,False
59,frame_0011.jpg,4.4,0.5739,0.5678,0.3,1.0,4,3,False,False
60,frame_0379.jpg,151.6,0.5737,0.7714,0.6,0.04,11,6,False,False
61,frame_0071.jpg,28.4,0.571,0.622,0.2,1.0,6,2,False,False
62,frame_0179.jpg,71.6,0.571,0.6739,0.7,0.12,10,7,False,False
63,frame_0367.jpg,146.8,0.571,0.87,0.4,0.08,8,4,False,False
64,frame_0008.jpg,3.2,0.5708,0.5615,0.3,1.0,5,3,False,False
65,frame_0003.jpg,1.2,0.5697,0.5594,0.3,1.0,7,3,False,False
66,frame_0006.jpg,2.4,0.5696,0.4992,0.4,1.0,6,4,False,False
67,frame_0273.jpg,109.2,0.5693,0.7306,0.6,0.12,7,6,False,False
68,frame_0002.jpg,0.8,0.5685,0.497,0.4,1.0,7,4,False,False
69,frame_0277.jpg,110.8,0.5666,0.7811,0.4,0.28,8,4,False,False
70,frame_0023.jpg,9.2,0.5647,0.5494,0.3,1.0,5,3,False,False
71,frame_0327.jpg,130.8,0.5614,0.8667,0.4,0.04,13,4,False,False
72,frame_0197.jpg,78.8,0.5612,0.9624,0.0,0.4,1,0,False,False
73,frame_0276.jpg,110.4,0.5599,0.6638,0.6,0.24,10,6,False,False
74,frame_0283.jpg,113.2,0.5577,0.7275,0.3,0.52,7,3,False,False
75,frame_0079.jpg,31.6,0.5539,0.6078,0.3,0.8,10,3,False,False
76,frame_0125.jpg,50.0,0.5539,0.5798,0.4,0.72,7,4,False,False
